"rgb","r","g","b","colorname","RGB"
"150 - 200 - 180","150","200","180","foam or mist or something","[150, 200, 180]"
"200 - 170 - 170","200","170","170","slightly neutral lavender","[200, 170, 170]"
"120 - 80 - 40","120","80","40","what can ____ do for you?","[120, 80, 40]"
"160 - 180 - 20","160","180","20","brownish greenish yellow","[160, 180, 20]"
"170 - 160 - 40","170","160","40","different yellow ochre","[170, 160, 40]"
"70 - 100 - 90","70","100","90","construction paper green","[70, 100, 90]"
"170 - 160 - 40","170","160","40","greenish mustard yellow","[170, 160, 40]"
"200 - 170 - 170","200","170","170","lighter browinsh purple","[200, 170, 170]"
"220 - 240 - 150","220","240","150","very light yellow brown","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light greenish blueish","[190, 220, 210]"
"220 - 240 - 150","220","240","150","faded parchment yellow","[220, 240, 150]"
"160 - 180 - 20","160","180","20","ugly 70s kitchen green","[160, 180, 20]"
"250 - 120 - 30","250","120","30","slightly darker orange","[250, 120, 30]"
"170 - 160 - 40","170","160","40","greenish medium yellow","[170, 160, 40]"
"170 - 160 - 40","170","160","40","dark green yellow puke","[170, 160, 40]"
"200 - 100 - 70","200","100","70","orange only burned","[200, 100, 70]"
"110 - 100 - 10","110","100","10","more vivid olive green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","brownish orangish red","[200, 100, 70]"
"220 - 240 - 150","220","240","150","light brownish yellow","[220, 240, 150]"
"220 - 240 - 150","220","240","150","light yellowish green","[220, 240, 150]"
"220 - 240 - 150","220","240","150","french cottage yellow","[220, 240, 150]"
"200 - 100 - 70","200","100","70","brownish reddish pink","[200, 100, 70]"
"220 - 240 - 150","220","240","150","very light green haha","[220, 240, 150]"
"70 - 100 - 90","70","100","90","bluish greenish gray","[70, 100, 90]"
"150 - 200 - 180","150","200","180","sightly grayish mint","[150, 200, 180]"
"220 - 240 - 150","220","240","150","browney light yellow","[220, 240, 150]"
"190 - 220 - 210","190","220","210","grayish blueish blah","[190, 220, 210]"
"200 - 100 - 70","200","100","70","autumn leaves orange","[200, 100, 70]"
"170 - 160 - 40","170","160","40","mustard  spicy brown","[170, 160, 40]"
"150 - 200 - 180","150","200","180","light teal or slate","[150, 200, 180]"
"160 - 0 - 80","160","0","80","dark reddish purple","[160, 0, 80]"
"220 - 240 - 150","220","240","150","light creamy yellow","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light seafoam green","[190, 220, 210]"
"190 - 220 - 210","190","220","210","greenish light blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","tired sleepy monkey","[150, 200, 180]"
"150 - 200 - 180","150","200","180","institutional green","[150, 200, 180]"
"170 - 160 - 40","170","160","40","10 'o clock drinker","[170, 160, 40]"
"150 - 200 - 180","150","200","180","vintage green again","[150, 200, 180]"
"70 - 100 - 90","70","100","90","darkish bluey green","[70, 100, 90]"
"150 - 200 - 180","150","200","180","dark seafoam green","[150, 200, 180]"
"200 - 100 - 70","200","100","70","reddish pink brown","[200, 100, 70]"
"110 - 100 - 10","110","100","10","monkey feces brown","[110, 100, 10]"
"70 - 100 - 90","70","100","90","greenish dark grey","[70, 100, 90]"
"160 - 180 - 20","160","180","20","darker olive green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","light yellow green","[220, 240, 150]"
"70 - 100 - 90","70","100","90","greenblue ish grey","[70, 100, 90]"
"160 - 180 - 20","160","180","20","medium olive green","[160, 180, 20]"
"50 - 80 - 100","50","80","100","dark blue ish gray","[50, 80, 100]"
"70 - 100 - 90","70","100","90","dull greyish green","[70, 100, 90]"
"110 - 100 - 10","110","100","10","darker olive green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","light burnt orange","[200, 100, 70]"
"50 - 80 - 100","50","80","100","midnight navy blue","[50, 80, 100]"
"160 - 180 - 20","160","180","20","almost lime yellow","[160, 180, 20]"
"70 - 100 - 90","70","100","90","faded forest green","[70, 100, 90]"
"220 - 240 - 150","220","240","150","light yellow green","[220, 240, 150]"
"70 - 100 - 90","70","100","90","blueish nato green","[70, 100, 90]"
"150 - 200 - 180","150","200","180","dark pastel green","[150, 200, 180]"
"220 - 240 - 150","220","240","150","pale green yellow","[220, 240, 150]"
"200 - 100 - 70","200","100","70","orangy terracotta","[200, 100, 70]"
"160 - 180 - 20","160","180","20","light grass green","[160, 180, 20]"
"250 - 240 - 0","250","240","0","cornflower yellow","[250, 240, 0]"
"70 - 100 - 90","70","100","90","elephant man gray","[70, 100, 90]"
"160 - 180 - 20","160","180","20","light olive green","[160, 180, 20]"
"170 - 160 - 40","170","160","40","diarria poo stain","[170, 160, 40]"
"170 - 160 - 40","170","160","40","green+yellow+grey","[170, 160, 40]"
"200 - 160 - 180","200","160","180","dark grandma pink","[200, 160, 180]"
"200 - 100 - 70","200","100","70","old lady lipstick","[200, 100, 70]"
"70 - 100 - 90","70","100","90","earthy blue green","[70, 100, 90]"
"200 - 160 - 180","200","160","180","very dull purple?","[200, 160, 180]"
"200 - 160 - 180","200","160","180","light grey purple","[200, 160, 180]"
"200 - 160 - 180","200","160","180","light grey purple","[200, 160, 180]"
"160 - 180 - 20","160","180","20","dark yellow green","[160, 180, 20]"
"170 - 160 - 40","170","160","40","bayj spellcheck","[170, 160, 40]"
"170 - 160 - 40","170","160","40","ditch water green","[170, 160, 40]"
"160 - 180 - 20","160","180","20","dull yellow green","[160, 180, 20]"
"220 - 240 - 150","220","240","150","pale yellow green","[220, 240, 150]"
"160 - 180 - 20","160","180","20","yellow green moss","[160, 180, 20]"
"190 - 220 - 210","190","220","210","nearly white blue","[190, 220, 210]"
"150 - 200 - 180","150","200","180","pastel gren green","[150, 200, 180]"
"50 - 80 - 100","50","80","100","grayish dark blue","[50, 80, 100]"
"110 - 100 - 10","110","100","10","dark yellow green","[110, 100, 10]"
"170 - 160 - 40","170","160","40","baby vomit khaki","[170, 160, 40]"
"110 - 100 - 10","110","100","10","camouflage green","[110, 100, 10]"
"220 - 240 - 150","220","240","150","very light green","[220, 240, 150]"
"190 - 220 - 210","190","220","210","light aquamarine","[190, 220, 210]"
"110 - 100 - 10","110","100","10","pons slime green","[110, 100, 10]"
"200 - 100 - 70","200","100","70","reddish burgundy","[200, 100, 70]"
"160 - 180 - 20","160","180","20","dirty lime green","[160, 180, 20]"
