image,number_responses,avg_words_per_response,percent_unique_words,percent_unique_lemmas,simpson_diversity,modal_agreement,modal_names,modal_response_agreement,modal_response
pt24.01_high,22,1.1363636363636365,0.72,0.72,0.03333333333333333,0.13636363636363635,"torch,tree,rock",0.13636363636363635,"torch,tree"
pt24.01_low,22,1.2272727272727273,0.8888888888888888,0.8888888888888888,0.011396011396011397,0.13636363636363635,frog,0.13636363636363635,frog
pt24.02_low,22,1.2272727272727273,0.8888888888888888,0.8518518518518519,0.014245014245014245,0.13636363636363635,rock,0.09090909090909091,bird
pt24.03_high,22,1.0909090909090908,0.375,0.375,0.30434782608695654,0.5909090909090909,swan,0.5454545454545454,swan
pt24.03_low,22,1.4090909090909092,0.967741935483871,0.967741935483871,0.002150537634408602,0.09090909090909091,hair,0.045454545454545456,"hair,boat,hourglass,big.mouth,cave,nan,wood,elephant,overhang,axe,hangman,crane,bird.'s.wing,womans.hair,finger.pointing.up,e,rock.arch,face,teeth,claw,bending.man,ant.eater"
pt24.04_high,22,1.5909090909090908,0.9142857142857143,0.8857142857142857,0.008403361344537815,0.13636363636363635,claw,0.09090909090909091,lizard
pt24.04_low,22,1.2272727272727273,0.9259259259259259,0.8888888888888888,0.008547008547008548,0.09090909090909091,"fish,dolphin,triangle",0.09090909090909091,dolphin
pt24.05_high,22,1.1818181818181819,0.6153846153846154,0.6153846153846154,0.046153846153846156,0.18181818181818182,heart,0.18181818181818182,heart
pt24.05_low,22,1.4090909090909092,0.8064516129032258,0.8064516129032258,0.01935483870967742,0.18181818181818182,person,0.09090909090909091,"angel,person"
pt24.06_high,22,1.2272727272727273,0.5925925925925926,0.5925925925925926,0.05413105413105413,0.22727272727272727,duck,0.22727272727272727,duck
pt24.06_low,22,1.4545454545454546,0.65625,0.65625,0.038306451612903226,0.2727272727272727,finger,0.13636363636363635,finger.pointing
pt24.07_high,22,1.1818181818181819,0.4230769230769231,0.4230769230769231,0.12615384615384614,0.36363636363636365,frog,0.2727272727272727,frog
pt24.07_low,22,1.2272727272727273,0.9259259259259259,0.9259259259259259,0.005698005698005698,0.09090909090909091,"lightning,face",0.09090909090909091,"face,lightning"
pt24.08_high,22,1.3181818181818181,0.8620689655172413,0.8620689655172413,0.017241379310344827,0.18181818181818182,e,0.09090909090909091,"e,letter.e"
pt24.08_low,22,1.3636363636363635,0.8666666666666667,0.8666666666666667,0.011494252873563218,0.13636363636363635,bat,0.13636363636363635,bat
pt24.02_high,22,1.2272727272727273,0.4074074074074074,0.37037037037037035,0.34472934472934474,0.7272727272727273,bear,0.5909090909090909,bear
